Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,Upper Name
Quantum Machine Intelligence,QUANT MACH INTELL,SPRINGERNATURE,2524-4906,2524-4914,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",ESCI,796,4.4,Q2,0.89,0.4969,QUANTUM MACHINE INTELLIGENCE
Quantum Machine Intelligence,QUANT MACH INTELL,SPRINGERNATURE,2524-4906,2524-4914,QUANTUM SCIENCE & TECHNOLOGY,ESCI,796,4.4,Q2,0.89,0.4969,QUANTUM MACHINE INTELLIGENCE
Intelligent Computing,INTELL COMPUT-WASH,AMER ASSOC ADVANCEMENT SCIENCE,N/A,2771-5892,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",ESCI,273,4.4,Q2,0.7,0.9765,INTELLIGENT COMPUTING
Intelligent Computing,INTELL COMPUT-WASH,AMER ASSOC ADVANCEMENT SCIENCE,N/A,2771-5892,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,273,4.4,Q2,0.7,0.9765,INTELLIGENT COMPUTING
Intelligent Computing,INTELL COMPUT-WASH,AMER ASSOC ADVANCEMENT SCIENCE,N/A,2771-5892,"COMPUTER SCIENCE, THEORY & METHODS",ESCI,273,4.4,Q1,0.7,0.9765,INTELLIGENT COMPUTING
DM DISEASE-A-MONTH,DM-DIS MON,MOSBY-ELSEVIER,0011-5029,1557-8194,"MEDICINE, GENERAL & INTERNAL",SCIE,1514,4.3,Q1,1.28,0.0441,DM DISEASE-A-MONTH
Planetary Science Journal,PLANET SCI J,IOP Publishing Ltd,N/A,2632-3338,ASTRONOMY & ASTROPHYSICS,ESCI,3762,4.3,Q2,0.88,0.9962,PLANETARY SCIENCE JOURNAL
2D Materials,2D MATER,IOP Publishing Ltd,2053-1583,2053-1583,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,9750,4.3,Q2,0.79,0.5252,2D MATERIALS
2D Materials,2D MATER,IOP Publishing Ltd,2053-1583,2053-1583,NANOSCIENCE & NANOTECHNOLOGY,SCIE,9750,4.3,Q2,0.79,0.5252,2D MATERIALS
2D Materials,2D MATER,IOP Publishing Ltd,2053-1583,2053-1583,"PHYSICS, APPLIED",SCIE,9750,4.3,Q2,0.79,0.5252,2D MATERIALS
Journal of Physics-Materials,J PHYS-MATER,IOP Publishing Ltd,N/A,2515-7639,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,1965,4.3,Q2,0.65,0.9942,JOURNAL OF PHYSICS-MATERIALS
Journal of Physics-Materials,J PHYS-MATER,IOP Publishing Ltd,N/A,2515-7639,NANOSCIENCE & NANOTECHNOLOGY,SCIE,1965,4.3,Q2,0.65,0.9942,JOURNAL OF PHYSICS-MATERIALS
Journal of Physics-Materials,J PHYS-MATER,IOP Publishing Ltd,N/A,2515-7639,"PHYSICS, APPLIED",SCIE,1965,4.3,Q2,0.65,0.9942,JOURNAL OF PHYSICS-MATERIALS
CHINESE PHYSICS LETTERS,CHINESE PHYS LETT,IOP Publishing Ltd,0256-307X,1741-3540,"PHYSICS, MULTIDISCIPLINARY",SCIE,7655,4.2,Q1,1.12,0.4147,CHINESE PHYSICS LETTERS
SUPERCONDUCTOR SCIENCE & TECHNOLOGY,SUPERCOND SCI TECH,IOP Publishing Ltd,0953-2048,1361-6668,"PHYSICS, APPLIED",SCIE,12226,4.2,Q2,0.66,0.4927,SUPERCONDUCTOR SCIENCE & TECHNOLOGY
SUPERCONDUCTOR SCIENCE & TECHNOLOGY,SUPERCOND SCI TECH,IOP Publishing Ltd,0953-2048,1361-6668,"PHYSICS, CONDENSED MATTER",SCIE,12226,4.2,Q2,0.66,0.4927,SUPERCONDUCTOR SCIENCE & TECHNOLOGY
Emergent Materials,EMERGENT MATER,SPRINGERNATURE,2522-5731,2522-574X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,2836,4.1,Q2,0.54,0.1546,EMERGENT MATERIALS
NUCLEAR FUSION,NUCL FUSION,IOP Publishing Ltd,0029-5515,1741-4326,"PHYSICS, FLUIDS & PLASMAS",SCIE,21956,4,Q1,1.26,0.7878,NUCLEAR FUSION
Geoenvironmental Disasters,GEOENVIRONMENTAL DIS,SPRINGERNATURE,N/A,2197-8670,ENVIRONMENTAL SCIENCES,ESCI,1147,4,Q2,0.83,1,GEOENVIRONMENTAL DISASTERS
Geoenvironmental Disasters,GEOENVIRONMENTAL DIS,SPRINGERNATURE,N/A,2197-8670,"GEOSCIENCES, MULTIDISCIPLINARY",ESCI,1147,4,Q1,0.83,1,GEOENVIRONMENTAL DISASTERS
Micro and Nano Systems Letters,MICRO NANO SYST LETT,SPRINGERNATURE,N/A,2213-9621,NANOSCIENCE & NANOTECHNOLOGY,ESCI,550,4,Q3,0.37,1,MICRO AND NANO SYSTEMS LETTERS
HEREDITY,HEREDITY,SPRINGERNATURE,0018-067X,1365-2540,ECOLOGY,SCIE,9419,3.9,Q1,0.95,0.4847,HEREDITY
HEREDITY,HEREDITY,SPRINGERNATURE,0018-067X,1365-2540,EVOLUTIONARY BIOLOGY,SCIE,9419,3.9,Q1,0.95,0.4847,HEREDITY
HEREDITY,HEREDITY,SPRINGERNATURE,0018-067X,1365-2540,GENETICS & HEREDITY,SCIE,9419,3.9,Q1,0.95,0.4847,HEREDITY
Current Treatment Options in Infectious Diseases,CURR TREAT OPT INFEC,SPRINGERNATURE,N/A,1534-6250,INFECTIOUS DISEASES,ESCI,322,3.8,Q1,0.92,0.2083,CURRENT TREATMENT OPTIONS IN INFECTIOUS DISEASES
INTERNATIONAL JOURNAL OF OBESITY,INT J OBESITY,SPRINGERNATURE,0307-0565,1476-5497,ENDOCRINOLOGY & METABOLISM,SCIE,20780,3.8,Q2,0.91,0.4095,INTERNATIONAL JOURNAL OF OBESITY
INTERNATIONAL JOURNAL OF OBESITY,INT J OBESITY,SPRINGERNATURE,0307-0565,1476-5497,NUTRITION & DIETETICS,SCIE,20780,3.8,Q2,0.91,0.4095,INTERNATIONAL JOURNAL OF OBESITY
Journal of Neural Engineering,J NEURAL ENG,IOP Publishing Ltd,1741-2560,1741-2552,"ENGINEERING, BIOMEDICAL",SCIE,13711,3.8,Q2,0.9,0.6112,JOURNAL OF NEURAL ENGINEERING
Journal of Neural Engineering,J NEURAL ENG,IOP Publishing Ltd,1741-2560,1741-2552,NEUROSCIENCES,SCIE,13711,3.8,Q2,0.9,0.6112,JOURNAL OF NEURAL ENGINEERING
Smart Materials and Structures,SMART MATER STRUCT,IOP Publishing Ltd,0964-1726,1361-665X,INSTRUMENTS & INSTRUMENTATION,SCIE,24852,3.8,Q1,0.83,0.4208,SMART MATERIALS AND STRUCTURES
Smart Materials and Structures,SMART MATER STRUCT,IOP Publishing Ltd,0964-1726,1361-665X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,24852,3.8,Q2,0.83,0.4208,SMART MATERIALS AND STRUCTURES
MRS Energy & Sustainability,MRS ENERGY SUSTAIN,SPRINGERNATURE,2329-2229,2329-2237,ENERGY & FUELS,ESCI,779,3.8,Q3,0.4,0.2222,MRS ENERGY & SUSTAINABILITY
Comparative Migration Studies,COMP MIGR STUD,SPRINGERNATURE,N/A,2214-594X,DEMOGRAPHY,SSCI,1631,3.7,Q1,1.89,1,COMPARATIVE MIGRATION STUDIES
Journal of Healthcare Informatics Research,J HEALTHC INFORM RES,SPRINGERNATURE,2509-4971,2509-498X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ESCI,671,3.7,Q2,1.38,0.3944,JOURNAL OF HEALTHCARE INFORMATICS RESEARCH
Journal of Healthcare Informatics Research,J HEALTHC INFORM RES,SPRINGERNATURE,2509-4971,2509-498X,HEALTH CARE SCIENCES & SERVICES,ESCI,671,3.7,Q1,1.38,0.3944,JOURNAL OF HEALTHCARE INFORMATICS RESEARCH
Journal of Healthcare Informatics Research,J HEALTHC INFORM RES,SPRINGERNATURE,2509-4971,2509-498X,MEDICAL INFORMATICS,ESCI,671,3.7,Q2,1.38,0.3944,JOURNAL OF HEALTHCARE INFORMATICS RESEARCH
CLASSICAL AND QUANTUM GRAVITY,CLASSICAL QUANT GRAV,IOP Publishing Ltd,0264-9381,1361-6382,ASTRONOMY & ASTROPHYSICS,SCIE,30367,3.7,Q2,0.93,0.5107,CLASSICAL AND QUANTUM GRAVITY
CLASSICAL AND QUANTUM GRAVITY,CLASSICAL QUANT GRAV,IOP Publishing Ltd,0264-9381,1361-6382,"PHYSICS, MULTIDISCIPLINARY",SCIE,30367,3.7,Q1,0.93,0.5107,CLASSICAL AND QUANTUM GRAVITY
CLASSICAL AND QUANTUM GRAVITY,CLASSICAL QUANT GRAV,IOP Publishing Ltd,0264-9381,1361-6382,"PHYSICS, PARTICLES & FIELDS",SCIE,30367,3.7,Q2,0.93,0.5107,CLASSICAL AND QUANTUM GRAVITY
CLASSICAL AND QUANTUM GRAVITY,CLASSICAL QUANT GRAV,IOP Publishing Ltd,0264-9381,1361-6382,QUANTUM SCIENCE & TECHNOLOGY,SCIE,30367,3.7,Q2,0.93,0.5107,CLASSICAL AND QUANTUM GRAVITY
Cybersecurity,CYBERSECURITY,SPRINGERNATURE,2523-3246,2523-3246,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ESCI,1003,3.7,Q2,0.82,1,CYBERSECURITY
Cybersecurity,CYBERSECURITY,SPRINGERNATURE,2523-3246,2523-3246,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,1003,3.7,Q2,0.82,1,CYBERSECURITY
Cybersecurity,CYBERSECURITY,SPRINGERNATURE,2523-3246,2523-3246,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",ESCI,1003,3.7,Q1,0.82,1,CYBERSECURITY
Biophysical Reviews,BIOPHYS REV-GER,SPRINGERNATURE,1867-2450,1867-2469,BIOPHYSICS,ESCI,4137,3.7,Q1,0.74,0.3083,BIOPHYSICAL REVIEWS
Biomedical Materials,BIOMED MATER,IOP Publishing Ltd,1748-6041,1748-605X,"ENGINEERING, BIOMEDICAL",SCIE,6337,3.7,Q2,0.64,0.4649,BIOMEDICAL MATERIALS
Biomedical Materials,BIOMED MATER,IOP Publishing Ltd,1748-6041,1748-605X,"MATERIALS SCIENCE, BIOMATERIALS",SCIE,6337,3.7,Q3,0.64,0.4649,BIOMEDICAL MATERIALS
Discover Food,DISCOV FOOD,SPRINGERNATURE,N/A,2731-4286,FOOD SCIENCE & TECHNOLOGY,ESCI,299,3.7,Q2,0.53,1,DISCOVER FOOD
Humanities & Social Sciences Communications,HUM SOC SCI COMMUN,SPRINGERNATURE,N/A,2662-9992,"HUMANITIES, MULTIDISCIPLINARY",AHCI,8918,3.6,N/A,4.05,1,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS
Humanities & Social Sciences Communications,HUM SOC SCI COMMUN,SPRINGERNATURE,N/A,2662-9992,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,8918,3.6,Q1,4.05,1,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS
JOURNAL OF VASCULAR SURGERY,J VASC SURG,MOSBY-ELSEVIER,0741-5214,1097-6809,PERIPHERAL VASCULAR DISEASE,SCIE,31025,3.6,Q1,1.43,0.0994,JOURNAL OF VASCULAR SURGERY
JOURNAL OF VASCULAR SURGERY,J VASC SURG,MOSBY-ELSEVIER,0741-5214,1097-6809,SURGERY,SCIE,31025,3.6,Q1,1.43,0.0994,JOURNAL OF VASCULAR SURGERY
Clinical Hypertension,CLIN HYPERTENS,SPRINGERNATURE,N/A,2056-5909,PERIPHERAL VASCULAR DISEASE,ESCI,684,3.6,Q1,0.85,1,CLINICAL HYPERTENSION
BIOLOGICAL TRACE ELEMENT RESEARCH,BIOL TRACE ELEM RES,SPRINGERNATURE,0163-4984,1559-0720,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,17944,3.6,Q2,0.8,0.1431,BIOLOGICAL TRACE ELEMENT RESEARCH
BIOLOGICAL TRACE ELEMENT RESEARCH,BIOL TRACE ELEM RES,SPRINGERNATURE,0163-4984,1559-0720,ENDOCRINOLOGY & METABOLISM,SCIE,17944,3.6,Q2,0.8,0.1431,BIOLOGICAL TRACE ELEMENT RESEARCH
Energy Ecology and Environment,ENERGY ECOL ENVIRON,SPRINGERNATURE,2363-7692,2363-8338,ENVIRONMENTAL SCIENCES,ESCI,1287,3.6,Q2,0.68,0.177,ENERGY ECOLOGY AND ENVIRONMENT
Energy Ecology and Environment,ENERGY ECOL ENVIRON,SPRINGERNATURE,2363-7692,2363-8338,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,1287,3.6,Q3,0.68,0.177,ENERGY ECOLOGY AND ENVIRONMENT
Materials for Quantum Technology,MATER QUANTUM TECHN,IOP Publishing Ltd,2633-4356,2633-4356,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,308,3.6,Q2,0.61,1,MATERIALS FOR QUANTUM TECHNOLOGY
Materials for Quantum Technology,MATER QUANTUM TECHN,IOP Publishing Ltd,2633-4356,2633-4356,QUANTUM SCIENCE & TECHNOLOGY,ESCI,308,3.6,Q3,0.61,1,MATERIALS FOR QUANTUM TECHNOLOGY
JOURNAL OF PEDIATRICS,J PEDIATR-US,MOSBY-ELSEVIER,0022-3476,1097-6833,PEDIATRICS,SCIE,33756,3.5,Q1,1.69,0.1454,JOURNAL OF PEDIATRICS
JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS,J PHYS G NUCL PARTIC,IOP Publishing Ltd,0954-3899,1361-6471,"PHYSICS, NUCLEAR",SCIE,7713,3.5,Q2,1.17,0.4309,JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS
JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS,J PHYS G NUCL PARTIC,IOP Publishing Ltd,0954-3899,1361-6471,"PHYSICS, PARTICLES & FIELDS",SCIE,7713,3.5,Q2,1.17,0.4309,JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS
AMERICAN HEART JOURNAL,AM HEART J,MOSBY-ELSEVIER,0002-8703,1097-6744,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,17193,3.5,Q2,1.08,0.2899,AMERICAN HEART JOURNAL
Phytopathology Research,PHYTOPATHOL RES,SPRINGERNATURE,2096-5362,2524-4167,PLANT SCIENCES,SCIE,840,3.5,Q1,0.8,1,PHYTOPATHOLOGY RESEARCH
EYE,EYE,SPRINGERNATURE,0950-222X,1476-5454,OPHTHALMOLOGY,SCIE,16765,3.4,Q1,1.08,0.3359,EYE
Molecular and Cellular Pediatrics,MOL CELL PEDIATR,SPRINGERNATURE,N/A,2194-7791,PEDIATRICS,ESCI,455,3.4,Q1,1.04,1,MOLECULAR AND CELLULAR PEDIATRICS
Current Heart Failure Reports,CURR HEART FAIL REP,SPRINGERNATURE,1546-9530,1546-9549,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,1605,3.4,Q2,0.98,0.3946,CURRENT HEART FAILURE REPORTS
SAUDI PHARMACEUTICAL JOURNAL,SAUDI PHARM J,SPRINGERNATURE,1319-0164,2213-7475,PHARMACOLOGY & PHARMACY,SCIE,7329,3.4,Q2,0.98,0.965,SAUDI PHARMACEUTICAL JOURNAL
Journal of Breath Research,J BREATH RES,IOP Publishing Ltd,1752-7155,1752-7163,BIOCHEMICAL RESEARCH METHODS,SCIE,3071,3.4,Q2,0.97,0.6259,JOURNAL OF BREATH RESEARCH
Journal of Breath Research,J BREATH RES,IOP Publishing Ltd,1752-7155,1752-7163,RESPIRATORY SYSTEM,SCIE,3071,3.4,Q2,0.97,0.6259,JOURNAL OF BREATH RESEARCH
MEASUREMENT SCIENCE and TECHNOLOGY,MEAS SCI TECHNOL,IOP Publishing Ltd,0957-0233,1361-6501,"ENGINEERING, MULTIDISCIPLINARY",SCIE,23143,3.4,Q1,0.9,0.4293,MEASUREMENT SCIENCE AND TECHNOLOGY
MEASUREMENT SCIENCE and TECHNOLOGY,MEAS SCI TECHNOL,IOP Publishing Ltd,0957-0233,1361-6501,INSTRUMENTS & INSTRUMENTATION,SCIE,23143,3.4,Q2,0.9,0.4293,MEASUREMENT SCIENCE AND TECHNOLOGY
PHYSICS IN MEDICINE AND BIOLOGY,PHYS MED BIOL,IOP Publishing Ltd,0031-9155,1361-6560,"ENGINEERING, BIOMEDICAL",SCIE,30706,3.4,Q2,0.87,0.6094,PHYSICS IN MEDICINE AND BIOLOGY
PHYSICS IN MEDICINE AND BIOLOGY,PHYS MED BIOL,IOP Publishing Ltd,0031-9155,1361-6560,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,30706,3.4,Q1,0.87,0.6094,PHYSICS IN MEDICINE AND BIOLOGY
Ecosystem Health and Sustainability,ECOSYST HEALTH SUST,AMER ASSOC ADVANCEMENT SCIENCE,2096-4129,2332-8878,ECOLOGY,SCIE,1379,3.4,Q2,0.78,1,ECOSYSTEM HEALTH AND SUSTAINABILITY
Ecosystem Health and Sustainability,ECOSYST HEALTH SUST,AMER ASSOC ADVANCEMENT SCIENCE,2096-4129,2332-8878,ENVIRONMENTAL SCIENCES,SCIE,1379,3.4,Q2,0.78,1,ECOSYSTEM HEALTH AND SUSTAINABILITY
JOURNAL OF HUMAN HYPERTENSION,J HUM HYPERTENS,SPRINGERNATURE,0950-9240,1476-5527,PERIPHERAL VASCULAR DISEASE,SCIE,4994,3.4,Q2,0.61,0.3709,JOURNAL OF HUMAN HYPERTENSION
Implementation Science Communications,IMPLEMENT SCI COMMUN,SPRINGERNATURE,N/A,2662-2211,HEALTH CARE SCIENCES & SERVICES,ESCI,1860,3.3,Q1,1.17,0.9975,IMPLEMENTATION SCIENCE COMMUNICATIONS
Implementation Science Communications,IMPLEMENT SCI COMMUN,SPRINGERNATURE,N/A,2662-2211,HEALTH POLICY & SERVICES,ESCI,1860,3.3,Q1,1.17,0.9975,IMPLEMENTATION SCIENCE COMMUNICATIONS
PLASMA SOURCES SCIENCE & TECHNOLOGY,PLASMA SOURCES SCI T,IOP Publishing Ltd,0963-0252,1361-6595,"PHYSICS, FLUIDS & PLASMAS",SCIE,12318,3.3,Q1,1.07,0.496,PLASMA SOURCES SCIENCE & TECHNOLOGY
EJNMMI Radiopharmacy and Chemistry,EJNMMI RADIOPHARM CH,SPRINGERNATURE,N/A,2365-421X,"CHEMISTRY, INORGANIC & NUCLEAR",ESCI,969,3.3,Q1,0.97,1,EJNMMI RADIOPHARMACY AND CHEMISTRY
EJNMMI Radiopharmacy and Chemistry,EJNMMI RADIOPHARM CH,SPRINGERNATURE,N/A,2365-421X,"CHEMISTRY, MEDICINAL",ESCI,969,3.3,Q3,0.97,1,EJNMMI RADIOPHARMACY AND CHEMISTRY
EJNMMI Radiopharmacy and Chemistry,EJNMMI RADIOPHARM CH,SPRINGERNATURE,N/A,2365-421X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",ESCI,969,3.3,Q1,0.97,1,EJNMMI RADIOPHARMACY AND CHEMISTRY
CURRENT PROBLEMS IN CARDIOLOGY,CURR PROB CARDIOLOGY,MOSBY-ELSEVIER,0146-2806,1535-6280,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,4911,3.3,Q2,0.76,0.1224,CURRENT PROBLEMS IN CARDIOLOGY
EUROPEAN JOURNAL OF CLINICAL NUTRITION,EUR J CLIN NUTR,SPRINGERNATURE,0954-3007,1476-5640,NUTRITION & DIETETICS,SCIE,15224,3.3,Q2,0.67,0.2822,EUROPEAN JOURNAL OF CLINICAL NUTRITION
Functional Composites and Structures,FUNCT COMPOS STRUCT,IOP Publishing Ltd,N/A,2631-6331,"MATERIALS SCIENCE, COMPOSITES",ESCI,610,3.3,Q2,0.42,0.2975,FUNCTIONAL COMPOSITES AND STRUCTURES
Functional Composites and Structures,FUNCT COMPOS STRUCT,IOP Publishing Ltd,N/A,2631-6331,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,610,3.3,Q2,0.42,0.2975,FUNCTIONAL COMPOSITES AND STRUCTURES
Nano Futures,NANO FUTURES,IOP Publishing Ltd,N/A,2399-1984,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,505,3.3,Q2,0.31,0.3889,NANO FUTURES
Nano Futures,NANO FUTURES,IOP Publishing Ltd,N/A,2399-1984,NANOSCIENCE & NANOTECHNOLOGY,SCIE,505,3.3,Q3,0.31,0.3889,NANO FUTURES
Nano Futures,NANO FUTURES,IOP Publishing Ltd,N/A,2399-1984,"PHYSICS, APPLIED",SCIE,505,3.3,Q2,0.31,0.3889,NANO FUTURES
Neurological Research and Practice,NEUROL RES PRACT,SPRINGERNATURE,N/A,2524-3489,CLINICAL NEUROLOGY,ESCI,1032,3.2,Q2,0.88,1,NEUROLOGICAL RESEARCH AND PRACTICE
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,PHOTOCH PHOTOBIO SCI,SPRINGERNATURE,1474-905X,1474-9092,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,8115,3.2,Q2,0.65,0.3718,PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,PHOTOCH PHOTOBIO SCI,SPRINGERNATURE,1474-905X,1474-9092,BIOPHYSICS,SCIE,8115,3.2,Q2,0.65,0.3718,PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,PHOTOCH PHOTOBIO SCI,SPRINGERNATURE,1474-905X,1474-9092,"CHEMISTRY, PHYSICAL",SCIE,8115,3.2,Q3,0.65,0.3718,PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES
JOURNAL OF PHYSICS D-APPLIED PHYSICS,J PHYS D APPL PHYS,IOP Publishing Ltd,0022-3727,1361-6463,"PHYSICS, APPLIED",SCIE,48732,3.2,Q2,0.61,0.3877,JOURNAL OF PHYSICS D-APPLIED PHYSICS
Computational Urban Science,COMPUT URBAN SCI,SPRINGERNATURE,N/A,2730-6852,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,417,3.2,Q2,0.59,1,COMPUTATIONAL URBAN SCIENCE
Computational Urban Science,COMPUT URBAN SCI,SPRINGERNATURE,N/A,2730-6852,REGIONAL & URBAN PLANNING,ESCI,417,3.2,Q2,0.59,1,COMPUTATIONAL URBAN SCIENCE
Flexible and Printed Electronics,FLEX PRINT ELECTRON,IOP Publishing Ltd,2058-8585,2058-8585,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,1545,3.2,Q2,0.54,0.5769,FLEXIBLE AND PRINTED ELECTRONICS
Flexible and Printed Electronics,FLEX PRINT ELECTRON,IOP Publishing Ltd,2058-8585,2058-8585,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,1545,3.2,Q3,0.54,0.5769,FLEXIBLE AND PRINTED ELECTRONICS
Flexible and Printed Electronics,FLEX PRINT ELECTRON,IOP Publishing Ltd,2058-8585,2058-8585,"PHYSICS, APPLIED",SCIE,1545,3.2,Q2,0.54,0.5769,FLEXIBLE AND PRINTED ELECTRONICS
Advanced Modeling and Simulation in Engineering Sciences,ADV MODEL SIMUL ENG,SPRINGERNATURE,N/A,2213-7467,MECHANICS,ESCI,571,3.2,Q2,0.52,1,ADVANCED MODELING AND SIMULATION IN ENGINEERING SCIENCES
Environmental Research: Infrastructure and Sustainability,ENVIRON RES-INFRASTR,IOP Publishing Ltd,N/A,2634-4505,ENVIRONMENTAL SCIENCES,ESCI,518,3.2,Q2,0.52,1,ENVIRONMENTAL RESEARCH: INFRASTRUCTURE AND SUSTAINABILITY
Environmental Research: Infrastructure and Sustainability,ENVIRON RES-INFRASTR,IOP Publishing Ltd,N/A,2634-4505,ENVIRONMENTAL STUDIES,ESCI,518,3.2,Q2,0.52,1,ENVIRONMENTAL RESEARCH: INFRASTRUCTURE AND SUSTAINABILITY
Environmental Research: Infrastructure and Sustainability,ENVIRON RES-INFRASTR,IOP Publishing Ltd,N/A,2634-4505,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,ESCI,518,3.2,Q3,0.52,1,ENVIRONMENTAL RESEARCH: INFRASTRUCTURE AND SUSTAINABILITY
PEDIATRIC RESEARCH,PEDIATR RES,SPRINGERNATURE,0031-3998,1530-0447,PEDIATRICS,SCIE,18812,3.1,Q1,1.36,0.3475,PEDIATRIC RESEARCH
Chinese Physics C,CHINESE PHYS C,IOP Publishing Ltd,1674-1137,2058-6132,"PHYSICS, NUCLEAR",SCIE,6014,3.1,Q2,1.22,0.6303,CHINESE PHYSICS C
Chinese Physics C,CHINESE PHYS C,IOP Publishing Ltd,1674-1137,2058-6132,"PHYSICS, PARTICLES & FIELDS",SCIE,6014,3.1,Q2,1.22,0.6303,CHINESE PHYSICS C
Journal of Epidemiology and Global Health,J EPIDEMIOL GLOB HEA,SPRINGERNATURE,2210-6006,2210-6014,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI",2538,3.1,Q1,1.11,1,JOURNAL OF EPIDEMIOLOGY AND GLOBAL HEALTH
3D Printing in Medicine,3D PRINT MED,SPRINGERNATURE,N/A,2365-6271,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",ESCI,832,3.1,Q2,0.93,1,3D PRINTING IN MEDICINE
Journal of Anesthesia Analgesia and Critical Care,J ANESTH ANALG CRIT,SPRINGERNATURE,N/A,2731-3786,ANESTHESIOLOGY,ESCI,373,3.1,Q1,0.63,1,JOURNAL OF ANESTHESIA ANALGESIA AND CRITICAL CARE
Journal of Anesthesia Analgesia and Critical Care,J ANESTH ANALG CRIT,SPRINGERNATURE,N/A,2731-3786,CRITICAL CARE MEDICINE,ESCI,373,3.1,Q2,0.63,1,JOURNAL OF ANESTHESIA ANALGESIA AND CRITICAL CARE
AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,AM J ORTHOD DENTOFAC,MOSBY-ELSEVIER,0889-5406,1097-6752,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,17659,3,Q1,1.26,0.0713,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS
BMC Psychology,BMC PSYCHOL,SPRINGERNATURE,N/A,2050-7283,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,5893,3,Q1,1.17,0.9993,BMC PSYCHOLOGY
Journal of Robotic Surgery,J ROBOT SURG,SPRINGERNATURE,1863-2483,1863-2491,SURGERY,SCIE,3658,3,Q1,1.16,0.2532,JOURNAL OF ROBOTIC SURGERY
Bioinspiration & Biomimetics,BIOINSPIR BIOMIM,IOP Publishing Ltd,1748-3182,1748-3190,"ENGINEERING, MULTIDISCIPLINARY",SCIE,5100,3,Q1,0.72,0.5177,BIOINSPIRATION & BIOMIMETICS
Bioinspiration & Biomimetics,BIOINSPIR BIOMIM,IOP Publishing Ltd,1748-3182,1748-3190,"MATERIALS SCIENCE, BIOMATERIALS",SCIE,5100,3,Q3,0.72,0.5177,BIOINSPIRATION & BIOMIMETICS
Bioinspiration & Biomimetics,BIOINSPIR BIOMIM,IOP Publishing Ltd,1748-3182,1748-3190,ROBOTICS,SCIE,5100,3,Q2,0.72,0.5177,BIOINSPIRATION & BIOMIMETICS
Pulmonary Therapy,PULM THER,SPRINGERNATURE,2364-1754,2364-1746,RESPIRATORY SYSTEM,ESCI,485,3,Q2,0.66,1,PULMONARY THERAPY
